"nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Business Analytics","No Minor","White","Male","3.50 - 4.00",202020,"2020","Magna Cum Laude","Dallas","DHL","Analytics General Management Logistics / Supply Chain Operations / Procurement",NA,NA,NA,"Chick-fil-A","3","DHL Supply Chain","Textron Systems","1","accepted fulltime job","Yes","Yes",52500,"TX"
1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","Columbus","TQL","Marketing / Sales",NA,NA,NA,"Lendkey Technologies","1",NA,NA,"1","accepted fulltime job","No","Yes",62372.5576923077,"OH"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Asian","Male","3.00 - 3.49",202120,"2021","0",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"accepted fulltime job",NA,NA,52110.2112676056,NA
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","Indianpolis","PFL - ORR FELLOWSHIP","Marketing / Sales",NA,NA,NA,"Needle's Eye Media","2",NA,"YOUHANGIT","1","accepted fulltime job","Yes","Yes",50000,"Indiana"
1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Cum Laude","Columbus","NATIONWIDE","Accounting
 Finance",NA,NA,NA,"Nationwide","1",NA,NA,"1","accepted fulltime job","Yes","Yes",67500,"Ohio"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marketing","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","Columbus","CLEARSULTING","Consulting",NA,NA,NA,"PNC Financial Services Group","1",NA,NA,"4","accepted fulltime job","Yes","Yes",50000,"OH"
2,"Accountancy","Finance",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Information Systems","Math/Stat","White","Male","3.50 - 4.00",202020,"2020","Cum Laude","Cincinnati","DELOITTE","Accounting Finance",NA,NA,NA,"Deloitte & Touche, LLP","1",NA,NA,"0","accepted fulltime job","Yes","Yes",52000,"OH"
2,"Management and Leadership","Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Minneapolis","MEDTRONIC","E&J Gallo",NA,NA,"T3 Performance",NA,"4","4",NA,"1","accepted fulltime job","Yes","Yes",60500,"Minnesota"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.50 - 2.99",202110,"2021","0",NA,NA,NA,NA,NA,NA,"Peak Properties","1",NA,NA,NA,"accepted fulltime job",NA,NA,61854.9707602339,NA
1,"Human Capital Mgmt& Leadership","none",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202120,"2021","Cum Laude","Columbus","HUNTINGTON NATIONAL BANK","Human Resources",NA,NA,NA,"Covetrus","2",NA,"Huntington bank","1","accepted fulltime job","Yes","Yes",53000,"OH"
2,"Accountancy","Finance",0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,"No Minor","No Minor","Black or African American","Male","3.50 - 4.00",202020,"2020","Cum Laude","Seattle","MICROSOFT","Accounting Finance",NA,NA,NA,"Ernst & Young - Launch Internship","2",NA,"Ernst & Young - Consulting Internship","4","accepted fulltime job","Yes","Yes",85000,"WA"
1,"Accountancy","none",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Mangement and Leadership","No Minor","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","Cincinnati","EY","Accounting",NA,NA,NA,"Ernst & Young","1",NA,NA,"1","accepted fulltime job","Yes","Yes",53000,"OH"
1,"Business Economics","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Political Science","No Minor","White","Male","2.00 - 2.49",202010,"2020","0","Washington D.C","BOOZ ALLEN HAMILTON","Consulting",NA,NA,NA,"NRPA","2",NA,"Booz Allen Hamilton","0","accepted fulltime job","Yes","Yes",61700,"Washington D.C/United States"
1,"Marketing","none",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",202120,"2021","0","Chicago","COYOTE LOGISTICS","Marketing / Sales",NA,NA,NA,"Digital Marketing Intern, VECTRE","1",NA,NA,"1","accepted fulltime job","Yes","Yes",45000,"IL"
1,"Finance","none",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",202020,"2020","Magna Cum Laude","Charlotte","FLORIDA PANTHERS","Other: Professional Athletics",NA,NA,NA,NA,"0",NA,NA,"10","accepted fulltime job","Yes","Yes",70000,"NC"
1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",201920,"2019","0","Chicago","OMD USA",NA,NA,NA,NA,"BUICED",NA,NA,"Belltower Education Solutions",NA,"accepted fulltime job",NA,NA,50000,"IL"
1,"Information Systems","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","Chicago","ORIGAMI RISK",NA,NA,NA,NA,"Origami Risk","2",NA,"Miami University",NA,"accepted fulltime job",NA,NA,65519.2307692308,"IL"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","No Minor","White","Male","3.00 - 3.49",202020,"2020","0","Denver","INTEGRO",NA,NA,NA,NA,"Clear Process Solutions","1",NA,NA,"0","accepted fulltime job",NA,NA,62372.5576923077,"CO"
1,"Information Systems","none",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Mangement and Leadership","Mangement and Leadership","White","Male","3.00 - 3.49",202120,"2021","0","Chicago","PELOTON CONSULTING GROUP","Consulting Human Resources Information Technology",NA,NA,NA,"BlueGrace Logistics","1",NA,NA,"2","accepted fulltime job","Yes","Yes",62000,"IL"
1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","Columbus","DHL","Marketing / Sales",NA,NA,NA,"Enterprise Holdings","1",NA,NA,"3","accepted fulltime job","Yes","Yes",40000,"Ohio"
1,"Supply Chain & Operations Mgmt","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Brooklyn Heights","NORTH SHORE STRAPPING","Logistics / Supply Chain Marketing / Sales",NA,NA,NA,NA,"0",NA,NA,"2","accepted fulltime job","No","Yes",56470,"OH"
1,"Finance","none",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,"Political Science","Political Science","White","Male","3.00 - 3.49",202120,"2021","0","New York","JP MOGAN CHASE","Finance",NA,NA,NA,"Dropbox","2",NA,"JPMorgan","1","accepted fulltime job","Yes","Yes",84000,"NY"
1,"Marketing","none",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Interactive Media Studies","No Minor","White","Male","3.00 - 3.49",201920,"2019","Cum Laude","San Francisco","SOCIALCHORUS","Marketing/Sales",NA,NA,NA,"Tapingo","4","Tide Cleaners","Joyrun",NA,"accepted fulltime job","No","Yes",50289.5698924731,"CA"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Accountancy","No Minor","White","Male","3.50 - 4.00",202020,"2020","Magna Cum Laude","Chicago","PRUDENTIAL PRIVATE CAPITAL","Finance",NA,NA,NA,"Woodlane Residential Services","3","Baird","The Professional Fighters League","3","accepted fulltime job","Yes","Yes",70000,"IL"
1,"Finance","none",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Interactive Media Studies","Interactive Media Studies","White","Female","3.50 - 4.00",202020,"2020","Cum Laude","Chicago","HARRISON STREET","Finance",NA,NA,NA,"Signature Associates","2",NA,"ValStone Partners","3","accepted fulltime job","Yes","Yes",65000,"IL"
2,"Finance","Information Systems",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,"Business Analytics","Business Analytics","White","Female","3.00 - 3.49",202020,"2020","0","Jersey city","PELOTON CONSULTING GROUP","Consulting Information Technology",NA,NA,NA,"Santander Bank","1",NA,NA,"1","accepted fulltime job","Yes","Yes",65000,"NJ"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Male","2.50 - 2.99",201920,"2019","0","Cincinnati","TOTAL QUALITY LOGISTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,35000,"OH"
